freq_Hz,freq_GHz,lineshape_1_per_Hz
37116001812.951271,37.116001812951,1.739892323158e-08
37116001998.531944,37.116001998532,1.771338947207e-08
37116002184.112617,37.116002184113,1.803308850825e-08
37116002369.693291,37.116002369693,1.835809865490e-08
37116002555.273964,37.116002555274,1.868849923738e-08
37116002740.854637,37.116002740855,1.902437060176e-08
37116002926.435310,37.116002926435,1.936579412517e-08
37116003112.015991,37.116003112016,1.971285224045e-08
37116003297.596664,37.116003297597,2.006562838921e-08
37116003483.177338,37.116003483177,2.042420711792e-08
37116003668.758011,37.116003668758,2.078867403148e-08
37116003854.338684,37.116003854339,2.115911581797e-08
37116004039.919357,37.116004039919,2.153562025917e-08
37116004225.500038,37.116004225500,2.191827625711e-08
37116004411.080711,37.116004411081,2.230717378152e-08
37116004596.661385,37.116004596661,2.270240397501e-08
37116004782.242058,37.116004782242,2.310405910111e-08
37116004967.822731,37.116004967823,2.351223257076e-08
37116005153.403404,37.116005153403,2.392701895318e-08
37116005338.984077,37.116005338984,2.434851398675e-08
37116005524.564758,37.116005524565,2.477681460778e-08
37116005710.145432,37.116005710145,2.521201889078e-08
37116005895.726105,37.116005895726,2.565422616518e-08
37116006081.306778,37.116006081307,2.610353695624e-08
37116006266.887451,37.116006266887,2.656005301371e-08
37116006452.468124,37.116006452468,2.702387732298e-08
37116006638.048805,37.116006638049,2.749511413584e-08
37116006823.629478,37.116006823629,2.797386890394e-08
37116007009.210152,37.116007009210,2.846024840632e-08
37116007194.790825,37.116007194791,2.895436068355e-08
37116007380.371498,37.116007380371,2.945631506837e-08
37116007565.952171,37.116007565952,2.996622219702e-08
37116007751.532845,37.116007751533,3.048419402074e-08
37116007937.113525,37.116007937114,3.101034383902e-08
37116008122.694199,37.116008122694,3.154478622423e-08
37116008308.274872,37.116008308275,3.208763716297e-08
37116008493.855545,37.116008493856,3.263901398140e-08
37116008679.436218,37.116008679436,3.319903537833e-08
37116008865.016891,37.116008865017,3.376782143682e-08
37116009050.597565,37.116009050598,3.434549363580e-08
37116009236.178246,37.116009236178,3.493217488610e-08
37116009421.758919,37.116009421759,3.552798944521e-08
37116009607.339592,37.116009607340,3.613306307376e-08
37116009792.920265,37.116009792920,3.674752295110e-08
37116009978.500938,37.116009978501,3.737149771102e-08
37116010164.081612,37.116010164082,3.800511745347e-08
37116010349.662292,37.116010349662,3.864851378301e-08
37116010535.242966,37.116010535243,3.930181971440e-08
37116010720.823639,37.116010720824,3.996516984307e-08
37116010906.404312,37.116010906404,4.063870025158e-08
37116011091.984985,37.116011091985,4.132254854765e-08
37116011277.565659,37.116011277566,4.201685387601e-08
37116011463.146332,37.116011463146,4.272175693023e-08
37116011648.727013,37.116011648727,4.343739999417e-08
37116011834.307686,37.116011834308,4.416392683575e-08
37116012019.888359,37.116012019888,4.490148289526e-08
37116012205.469032,37.116012205469,4.565021517997e-08
37116012391.049706,37.116012391050,4.641027230520e-08
37116012576.630379,37.116012576630,4.718180450608e-08
37116012762.211052,37.116012762211,4.796496364944e-08
37116012947.791733,37.116012947792,4.875990327851e-08
37116013133.372406,37.116013133372,4.956677849351e-08
37116013318.953079,37.116013318953,5.038574615955e-08
37116013504.533752,37.116013504534,5.121696478812e-08
37116013690.114426,37.116013690114,5.206059458136e-08
37116013875.695099,37.116013875695,5.291679744372e-08
37116014061.275780,37.116014061276,5.378573702969e-08
37116014246.856453,37.116014246856,5.466757861211e-08
37116014432.437126,37.116014432437,5.556248930814e-08
37116014618.017799,37.116014618018,5.647063794853e-08
37116014803.598473,37.116014803598,5.739219512471e-08
37116014989.179146,37.116014989179,5.832733320038e-08
37116015174.759819,37.116015174760,5.927622632302e-08
37116015360.340500,37.116015360340,6.023905047531e-08
37116015545.921173,37.116015545921,6.121598332765e-08
37116015731.501846,37.116015731502,6.220720448713e-08
37116015917.082520,37.116015917083,6.321289535112e-08
37116016102.663193,37.116016102663,6.423323915794e-08
37116016288.243866,37.116016288244,6.526842099810e-08
37116016473.824547,37.116016473825,6.631862786909e-08
37116016659.405220,37.116016659405,6.738404851321e-08
37116016844.985893,37.116016844986,6.846487368773e-08
37116017030.566566,37.116017030567,6.956129600392e-08
37116017216.147240,37.116017216147,7.067350998090e-08
37116017401.727913,37.116017401728,7.180171205660e-08
37116017587.308586,37.116017587309,7.294610059864e-08
37116017772.889267,37.116017772889,7.410687596318e-08
